Formula,Ecuaci�n,Stock,Sistem�tica,Tradicional
HClO,Cl2O + H2O = 2HClO,Nomenclatura sistemática: oxoclorato (I) de hidrógeno,Nomenclatura stock: ácido oxoclórico (I),Nomenclatura tradicional: ácido hipocloroso
H3PO4,P4O10 + 6H2O = 4H3PO4,Nomenclatura sistemática: tetraoxofosfato (V) de hidrógeno,Nomenclatura stock: ácido tetraoxofosfórico (V),Nomenclatura tradicional: ácido fosfórico
HNO2,H2O + N2O3 = 2HNO2,Nomenclatura sistemática: dioxonitrato (III) de hidrógeno,Nomenclatura stock: ácido dioxonítrico (III),Nomenclatura tradicional: ácido nitroso
H2CO3,CO2 + H2O = H2CO3,Nomenclatura sistemática: trioxocarbonato (IV) de hidrógeno,Nomenclatura stock: ácido trioxocarbónico (IV),Nomenclatura tradicional: ácido carbónico
H2SeO4,N/A,Nomenclatura sistemática: tetraoxoseleniato (VI) de hidrógeno,Nomenclatura stock: ácido tetraoxoselénico (VI),Nomenclatura tradicional: ácido selénico

HBO2,N/A,Nomenclatura sistemática: dioxoborato (III) de hidrógeno,Nomenclatura stock: ácido dioxobórico (III),Nomenclatura tradicional: ácido metabórico
H2CO3,CO2 + H2O = H2CO3,Nomenclatura sistemática: trioxocarbonato (IV) de hidrógeno,Nomenclatura stock: ácido trioxocarbónico (IV),Nomenclatura tradicional: ácido carbónico
HPO3,N/A,Nomenclatura sistemática: trioxofosfato (V) de hidrógeno,Nomenclatura stock: ácido trioxofosfórico (V),Nomenclatura tradicional: ácido metafosfórico
H2SO3,SO2 + H2O = H2SO3,Nomenclatura sistemática: trioxosulfato (IV) de hidrógeno,Nomenclatura stock: ácido trioxosulfúrico (IV),Nomenclatura tradicional: ácido sulfuroso
HBrO3,N/A,Nomenclatura sistemática: trioxobromato (V) de hidrógeno,Nomenclatura stock: ácido trioxobrómico (V),Nomenclatura tradicional: ácido brómico

HPO2,N/A,Nomenclatura sistemática: dioxofosfato (II) de hidrógeno,Nomenclatura stock: ácido dioxofosfórico (II),Nomenclatura tradicional: ácido metafosforoso
H4P2O7,P4O10 + 4H2O = 2H4P2O7,Nomenclatura sistemática: heptaoxodifosfato (V) de hidrógeno,Nomenclatura stock: ácido heptaoxodifosfórico (V),Nomenclatura tradicional: ácido pirofosfórico
H4SiO4,SiO2 + 2H2O = H4SiO4,Nomenclatura sistemática: tetraoxosilicato (IV) de hidrógeno,Nomenclatura stock: ácido tetraoxosilícico (IV),Nomenclatura tradicional: ácido silícico
H6Si2O7,N/A,Nomenclatura sistemática: heptaoxodisilicato (IV) de hidrógeno,Nomenclatura stock: ácido heptaoxodisilícico (IV),Nomenclatura tradicional: ácido disilícico
H2SiO3,SiO2 + H2O = H2SiO3,Nomenclatura sistemática: trioxosilicato (IV) de hidrógeno,Nomenclatura stock: ácido trioxosilícico (IV),Nomenclatura tradicional: ácido metasilícico

Fe(BrO3)3,N/A,Nomenclatura sistemática: tris[trioxobromato (V)] de hierro,Nomenclatura stock: bromato de hierro (III),Nomenclatura tradicional: bromato férrico
HNO2,H2O + N2O3 = 2HNO2,Nomenclatura sistemática: dioxonitrato (III) de hidrógeno,Nomenclatura stock: ácido dioxonítrico (III),Nomenclatura tradicional: ácido nitroso
H3PO3,P4O6 + 6H2O = 4H3PO3,Nomenclatura sistemática: trioxofosfato (III) de hidrógeno,Nomenclatura stock: ácido trioxofosfórico (III),Nomenclatura tradicional: ácido fosforoso

HNO3,N2O5 + H2O = 2HNO3,Nomenclatura sistemática: trioxonitrato (V) de hidrógeno,Nomenclatura stock: ácido trioxonítrico (V),Nomenclatura tradicional: ácido nítrico
